Term,Description,Subsystem Tags,Documentation Tags,Associated Acronyms and Alternative Terms,Type
Q3,Quarter three,Gen,,,A
Q3C,Quad Tree Cube,Gen,,,A
Q4,Quarter four,Gen,,,A
QA,Quality Assurance,Gen,,,A
QAP,Quality Assurance Plan,TS,Document-11951,,A
QBB,Quantum Backed Butler,DM,,,A
QC,Quality Control,Gen,,,A
QE,quantum efficiency,TS,Document-11994,,A
QOS,Quality of Service,IT,,,A
QSERV,LSST Query Services,TS,Document-12025,,A
QSFP,Quad Small Form Factor Plugable,IT,,,A
QSO,Quasi-Stellar Object (Quasar),Sci,,,A
RA,Rapid Analysis,Gen,,,A
RA,Right Ascension,Gen,,,A
RA,Risk Assessment,IT,,,A
RAC,Resource Allocation Committee,OPS,,,A
RAD,Rear Access Door,TS,,,A
RAG,Retrieval-Augmented Generation,Gen,,,A
RAID,Redundant Array of Inexpensive Disks,Gen,,,A
RAL,Rutherford Appleton Laboratory (UK),Gen,,,A
RAM,Random Access Memory,Gen,,,A
RAS,Resource Allocation Sheet,Adm,,,A
RAVE,Radial Velocity Experiment (spectroscopic survey),TS,Document-12004,,A
RBSE,Research-Based Science Education (AURA),OPS,,,A
RBT,Requests Beyond Target,OPS,,,A
RC,Release Candidate,Gen,,,A
RCC,Raft Control Rate,CAM,,,A
RCE,Reconfigurable Cluster Element,CAM,,,A
RCEC,Rubin Construction Executive Committee,Gen,,,A
RCI,Raft Communication Interface,CAM,,,A
RCM,Raft Communication Module,CAM,,,A
RCOC,Rubin Celebration Organizing Committee,LSST,,,A
RDBMS,Relational Database Management System,Gen,,,A
RDM,Rubin Data Management,OPS,,,A
RDO,Rubin Directors Office,OPS,,,A
RDP,Rubin Data Production (Obsolete use RDM),OPS,,,A
RDS,Raft Data Service,CAM,,,A
REB,Readout Electronics Board,CAM,,,A
REC,Raft Electronics Crate,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
REN,Research and Education Network,OPS,,,A
RENATER,Réseau National de télécommunications pour la Technologie l’Enseignement et la Recherche,OPS,,,A
REO,Rubin Education and Outreach,OPS,,,A
REST,REpresentational State Transfer,IT,,,A
REUNA,Red Universitaria Nacional,Gen,,,A
RF,Radio Frequency,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
RFC,Request For Comment,LSST DM,,,A
RFP,Request For Proposals,PMO,,,A
RFQ,Request For Quotations,LSST OPS,,,A
RG,Ring Gasket,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
RGA,Residual Gas Analyzer,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
RGB,Red Giant Branch,Sci,,,A
RINGS,RSS Imaging spectroscopy Nearby Galaxy Survey,Sci,,,A
RINGSS,Ring-Image Next Generation Scintillation Sensor,Sci,,,A
RM,Release Manager,LSST DM,,,A
RMA,Return Merchandise Authorization,IT,,,A
RMS,Root-Mean-Square,Gen,,,A
RMS,Raft Management Service,CAM,,,A
RNADE,Real-valued Neural Autoregressive Distribution Estimation,Sci,,,A
RNN,Recurrent Neural Network,Sci,,,A
RNP,Rede Nacional de Ensino e Pesquisa (National Education and Research Network Brazil),IT,,,A
ROE,Royal Observatory Edinburgh,OPS,,,A
ROI,Region of Interest,Gen,,,A
ROIC,Readout Integrated Circuit,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
RON,Read Out Noise,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
ROO,Rubin Observatory Operations,OPS,,,A
ROOT,Object-oriented data analysis framework developed at CERN,Gen,,,A
ROP,Rubin Operations Plan,OPS,,,A
ROSAT,Röntgensatellit X-ray telescope,OPS,,,A
RP,Rendezvous Point,IT,,,A
RPC,Raft Power Card,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
RPF,Rubin system PerFormance,OPS,,,A
RPM,RPM Package Manager (originally Red Hat Package Manager; now a recursive acronym),IT,,,A
RRL,RR Lyrae stars,Sci,,,A
RS232C,Standard 25-pin serial connection between computers and modems,Gen,,,A
RSA,Raft Sensor Array,CAM,,,A
RSE,Rucio Storage Element,OPS,,,A
RSO,Rubin Summit Operations,OPS,,,A
RSP,Rubin Science Platform,DM,,,A
RSS,square root of the sum of the squares,TS,Document-11939,,A
RSS,Resident Set Size,DM,,,A
RTA,Real Time Analysis,Sci,,,A
RTA,responsible technical authority,TS,Document-12013,,A
RTD,Resistance Temperature Detector,OPS,,,A
RTI,rise time invariance,TS,Document-12037,,A
RTM,Raft Tower Module,CAM,,,A
RTM,Rear Transition Module,DAQ,,,A
RTN,Rubin Technical Note,LSST DM,,,A
RTV,raster to vector,TS,Document-11984,,A
RU,Rack Unit,IT,,,A
S3,(Amazon) Simple Storage Service,IT,,,A
S3DF,SLAC Shared Scientific Data Facility,LSST,https://www.amlight.net/?page_id=24,,A
SA,System and Services Acquisition,IT,,,A
SA3CC,South American-African Astronomy Coordination Committee,LSST,https://www.amlight.net/?page_id=24,,A
SAA,Single Axis Actuator,TS,,,A
SAACC,South American Astronomy Coordination Committee (now SA3CC),LSST,https://www.amlight.net/?page_id=24,,A
SaaS,Software as a Service,Gen,,,A
SAC,Science Advisory Committee,LSST Adm,,,A
SACC,Save All Correlations and Covariances,Sci,DESC https://github.com/LSSTDESC/sacc,,A
SACNAS,Society for Advancement of Chicanos/Hispanics and Native Americans in Science,Gen,,,A
SAGA,Satellites Around Galactic Analogs (Survery),Sci,https://sagasurvey.org,,A
SAL,Service Abstraction Layer,OPS TSSW,https://ts-sal.lsst.io,,A
SAMP,Simple Application Messaging Protocol,Gen,,,A
SAO,Smithsonian Astrophysical Observatory,Gen,,,A
SAPP,"Science Algorithms, Pipelines, and Products",TS,Document-11953,,A
SAS,Shutter Assembly Subsystem,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SATA,Serial Advanced Technology Attachment,IT DM,,,A
SB,Surface Brightness,Sci,,,A
SBS,Shared Business Services,OPS,,,A
SC,System Commissioning,PMO,,,A
SC,System and Communications Protection,IT,,,A
SC,Science Collaboration,DM,,,A
SCADA,Supervisory Control And Data Acquisition,TS,,,A
SCI,Science sensor,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SCIDAR,Scintillation Detection And Ranging,TS,,,A
SCOC,Survey Cadence Optimization Committee,OPS,,,A
SCOSC,Survey Cadence Optimization Strategy Committee,OPS,,,A
SCP,South Celestial Pole,Sci,,,A
SCR,Silicon Controlled Rectifier (electronic component),CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SCS,Simple Cone Search (IVOA standard),VO,,,A
SCTI,Serial Charge Transfer Inefficiency,CAM,,,A
SDQA,Science Data Quality Assessment,DM,,,A
SDS,Science array Data acquisition Subsystem,TS,,,A
SDSS,Sloan Digital Sky Survey,Gen,,,A
SE,System Engineering,LSST,,,A
SED,Spectral Energy Distribution,Sci,,,A
SEM,Scanning Electron Microscope,CAM,,,A
SEM,Systems Engineering Manager,Adm,,,A
SEMP,Systems Engineering Management Plan,LSST DM,,,A
SEWG,Survey Evaluation Working Group,OPS,,,A
SF,Structure Function,Sci,,,A
SFP,Single Frame Processing,DM,,,A
SFR,Star Formation Rate,Sci,,,A
SFR,Supplemental Funding Request,Adm,,,A
SHA,Support Hazard Analysis ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SHA-1,Secure Hash Algorithm 1,Gen,,,A
SHE,"Safety, Health, and Environmental",,,,A
SHPE,Society of Hispanic Professional Engineers,Gen,,,A
SI,System and Information Integrity,IT,,,A
SI,Syst\`eme International (International System of units defined by ISO),Gen,,,A
SIA,Simple Image Access (IVOA standard),VO,,,A
SIAP,Simple Image Access Protocol (IVOA standard),VO,,,A
SIPIN,Silicon PIN diode (a detector / sensor type),CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SIT,"System Integration, Test",LSST OPS,,,A
SITCOM,"System Integration, Test and Commissioning",LSST OPS,,,A
SKA,Square Kilometer Array,Sci,,,A
SKF,Svenska Kullagerfabriken,PMO,,,A
SKU,Stock Keeping Unit (Google),OPS,,,A
SLA,Service Level Agreement,Gen,,,A
SLAC,SLAC National Accelerator Laboratory,LSST DM,,,A
SLI,Scientific Laboratories Infrastructure (within DOE),CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SLR,Stellar Locus Regression,Sci,,,A
SLR,Single Lens Reflex,Gen,,,A
SLSC,Strong Lensing Science Collaboration,Sci,,,A
SLSN,super luminous supernova(e),Sci,,,A
SM,Sparse Mode,IT,,,A
SMARTS,Small and Moderate Aperture Research Telescope System,OPS,,,A
SMBH,Supermassive Black Hole,Sci,,,A
SMC,Small Magellanic Cloud,Sci,,,A
SME,Subject Matter Expert,Gen,,,A
SMF,Stellar Mass Function,Sci,,,A
SMR,Spherical Mirror Retroreflectors,Sci,,,A
SMWLV,"Stars, Milky Way and Local Volume",Sci,,,A
SN,SuperNovae,Sci,,,A
SNANA,SuperNova ANAlysis (\url{https://snana.uchicago.edu/}),Sci,,,A
SNAPS,Solar System Notification Alert Processing System,OPS,,,A
SNEWS,SuperNova Early Warning System,Sci,,,A
SNR,Signal to Noise Ratio,DM,,,A
SNTC,Smart Net Total Care,IT,,,A
SO,Simons Observatory,Sci,,,A
SO,scientific operations,TS,Document-12011,,A
SOAP,Simple Object Access Protocol,Gen,,,A
SOAR,Southern Astrophysical Research Telescope,Gen,,,A
SOC,Security Operations Centre,IT,,,A
SOC,Science Operations Centre,Gen,,,A
SODA,Server-side Operations for Data Access (IVOA standard),VO,,,A
SODAR,sonic detection and ranging,TS,Document-11997,,A
SOF,Single-Object Fitting,OPS,,,A
SOG,science operations group,TS,Document-11987,,A
SOML,Steward Observatory Mirror Lab (University of Arizona),Gen,,,A
SOS,Science Operations Services,OPS,,,A
SOW,Statement Of Work,Gen,,,A
SP,Survey Performance,Sci,,,A
SP,System PerFormance,OPS,,,A
SP,Story Point,DM,,,A
SPI,Schedule Performance Index,Gen,,,A
SPIE,The international society for optics and photonics,Gen,,,A
SPL,Science PipeLines,DM,,,A
SPT,South Pole Telescope,Sci,,,A
SQL,Structured Query Language,Gen,,,A
SQR,SQuARE document handle,LSST,,,A
SQuaRE,Science Quality and Reliability Engineering,LSST DM,LDM-204,,A
SQuaSH,Science Quality Analysis Harness,DM,https://squash.lsst.codes/,,A
SRCF,Stanford Research Computing Facility,OPS,,,A
SRD,LSST Science Requirements; LPM-17,LSST DM,,,A
SRT,Science Raft Tower,CAM,,,A
SS,Subsystem Scientist,LSST DM,,,A
SSC,Survey Strategy Committee,OPS,,,A
SSD,Solid-State Disk,Gen,,,A
SSH,Secure SHell,Gen,,,A
SSI,Synthetic Source Injection,Sci,,,A
SSID,Service Set Identifier,IT,,,A
SSL,Secure Sockets Layer,IT,,,A
SSM,Subsystem Manager,Adm,,,A
SSO,Solar System Object,DM,,,A
SSOIS,Solar System Object Image Search,Sci,,,A
SSP,Solar System Processing,LSST DM,,,A
SSPP,System Safety Program Plan,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
SSSC,Solar System Science Collaboration,Sci,,,A
SST,Simonyi Survey Telescope (SST not to be used),Gen,,,A
SST,Subsystem Science Team,LSST,,,A
STAC,Gemini Science and Technology Advisory Committee,Gen,,,A
stdin,standard input,Gen,,,A
stdout,standard output,Gen,,,A
STEM,"Science, Technology, Engineering and Math",Gen,,,A
STFC,UK Science and Technology Facilities Council,OPS,,,A
STO,Safe Torque Off,Gen,,,A
SU,Stanford University,OPS,,,A
SUI,Science User Interface (original name for the LSP Portal and API Aspects),LSST DM,,,A
SUIT,"Science User Interface and Tools (LSST Data Management WBS element and team, responsible for LSP Portal Aspect)",LSST DM,,,A
SV,Science Validation,LSST DM,,,A
SVI,Switch Virtual Interface,IT,,,A
SVOM,Space Variable Objects Monitor,Sci,,,A
SW,Software (also denoted S/W),Gen,,,A
SWE,Society of Women Engineers,Gen,,,A
T/CAM,Technical/Control (or Cost) Account Manager,LSST DM,,,A
T&S,Telescope and Site,LSST DM,,,A
TAC,Time Allocation Committee,OPS,,,A
TAC,Arista Global Technical Assistance Center,IT,,,A
TACABS,absolute time-recording accuracy (millisecond),TS,,,A
TACC,Texas Advanced Computing Center,Gen,,,A
TACREL,internal (relative) time-recording accuracy (millisecond),TS,,,A
TAI,International Atomic Time,Gen,,,A
TAP,Table Access Protocol (IVOA standard),VO,,,A
TAXICAB,Telescope and Auxiliary Instrumentation Calibration Acceptance Board,TS,,,A
TB,TeraByte,Gen,,,A
TBA,To Be Announced,Gen,,,A
TBC,To Be Confirmed,Gen,,,A
TBD,To Be Defined (Determined),Gen,,,A
TBR,To Be Resolved,Gen,,,A
TC,Thermocouple,LSST DM,,,A
TCAM,Technical Control (or Cost) Account Manager,DM,,,A
TCP,Transmission Control Protocol,IT,,,A
TCS,Telescope Control System,TS DM,,,A
TCT,Technical Control Team (obsolete; now DMCCB),LSST DM,,,A
TDA,Time Domain Astronomy,Sci,,,A
TDE,Tidal Disruption Event,Sci,,,A
TDEs,Tidal Disruption Events,Sci,,,A
TEA,Top End Assembly,TS,,,A
TESS,Transiting Exoplanet Survey Satellite,Sci,,,A
TFLOP,Tera FLOP,Gen,,,A
TGAS,Tycho-Gaia Astrometric Solution,Sci,,,A
TLD,Top Level Domain,IT,,,A
TLS,Transport Layer Security,IT,,,A
TMA,Telescope Mount Assembly,TS DM,,,A
TMP,Temperature,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
TMT,Thirty Meter Telescope,OPS,,,A
TN,Technical Note,Gen,,,A
TNO,trans-Neptunian object,TS,Document-11979,,A
TNS,Transient Name Server,Sci,,,A
TOD,Time of Day,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
TOM,Target and Observation Manager,Sci,,,A
TOO,Target Of Opportunity,Sci,,,A
ToO,Target of Opportunity,Sci,,,A
TOPCAT,Tool for OPerations on Catalogues And Tables,Gen,,,A
TOWG,Technical Operations Working Group,TS,,,A
TPC,Total Project Cost,PMO,,,A
TPU,Tensor Processing Unit,DM,,,A
TS,Test Specification,LSST DM,,,A
TS#,Example (TS7) Test Stand 7 at SLAC,Gen,,,A
TS5,Test Stand 5,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
TS8,Test Stand 8 ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
TSIP,Telescope System Instrumentation Program,OPS,,,A
TSS,Telescope and Site Software,LSST,,,A
TTS,Tucson Test Stand,LSST,,,A
TU,Tucson,Gen,,,A
TVS,Transients and Variable Stars Science Collaboration,OPS,,,A
TVSS,transient voltage surge suppressor,TS,Document-12034,,A
TVSSC,Transients and Variable Stars Science Collaboration,OPS,,,A
UA,University of Arizona,TS,Document-11946,,A
UAP,Unidentified Aerial Phenomena,Sci,,,A
UCD,Unified Content Descriptor (IVOA standard),VO,,,A
UCL,University College London (UK),Gen,,,A
UCSC,University of California Santa Cruz,Gen,,,A
UDF,User Defined Function,Sci,,,A
UDP,User Datagram Protocol,Gen,,,A
UHECRs,Ultra-High-Energy Cosmic Rays,Sci,,,A
UHV,Ultra-high vacuum,LSST OPS,,,A
UI,User Interface,Gen,,,A
UID,User Identifier,IT,,,A
UIUC,University of Illinois at Urbana-Champaign,TS,Document-11980,,A
UK,United Kingdom,Gen OPS,,,A
UKDF,United Kingdom Data Facility,OPS,,,A
UKIDSS,UKIRT Infrared Deep Sky Survey,Gen,,,A
UKIRT,United Kingdom Infrared Telescope,Gen,,,A
UMA,Air Improvement Unit (Spanish),TS,,,A
UMAP,Uniform Manifold Approximation and Projection for dimension reduction,Sci,https://arxiv.org/abs/1802.03426,,A
UML,unified modeling language,TS,Document-12027,,A
UNIONS,Ultraviolet Near- Infrared Optical Northern Survey,Sci,,,A
UNSO,United States Naval Observatory,TS,Document-11938,,A
UPS,uninterruptible power supply,TS,Document-11989,,A
URL,Universal Resource Locator,Gen,,,A
US,United States,Gen,,,A
USA,United States of America,Gen,,,A
USB,Universal Serial Bus,IT,,,A
USD,United States dollar,TS,Document-11967,,A
USDAC,United States Data Access Center,DM,,,A
USDF,United States Data Facility,DM,,,A
USNO,United States Naval Observatory,Gen,,,A
UT,Universal Time,Gen,,,A
UT1,Universal Time 1,Gen,,,A
UTC,Coordinated Universal Time,Gen,,,A
UV,Ultraviolet,Sci,,,A
UW,University of Washington,Gen,,,A
UWS,Universal Worker Service (IVOA standard),VO,,,A
UX,User Experience,Gen,,,A
VCD,Verification Control Document,LSST DM,,,A
VE,vendor estimate,TS,Document-11968,,A
VF2F,Virtual Face 2 Face (meeting),DM,,,A
VFD,Variable Frequency Drive,TS,,,A
VIP,Vacuum Insulated Pipe,CAM,,,A
VISTA,Visible and Infrared Survey Telescope for Astronomy,Gen,,,A
VLA,Very Large Array (NRAO),Gen,,,A
VLAN, Virtual Local Area Network,IT,,,A
VLBA,Very Long Baseline Array,Gen,,,A
VLBI,Very Long Baseline Interferometry,Gen,,,A
VLT,Very Large Telescope (ESO),Gen,,,A
VLTI,Very Large Telescope Interferometer (ESO),Gen,,,A
VM,Virtual Machine,IT,,,A
VME,Virtual Machine Environment,IT,,,A
VMS,Vibration Monitoring System,TS,,,A
VNOC,Virtual Network Operations Center,IT,,,A
VO,Virtual Observatory,Gen,,,A
VOIP,Voice Over Internet Protocol,IT DM,,,A
VOMS,VO Management Service,DM,,,A
VPC,Virtual Private Cloud,IT,,,A
VPHAS,VST/OmegaCAM Photometric H-Alpha Survey,Sci,,,A
VPN,virtual private network,TS,Document-11966,,A
VQ,vendor quote,TS,Document-12014,,A
VRF,Virtual Routing and Forwarding,DM,,,A
VRO,(not to be used)Vera C. Rubin Observatory,Gen,,,A
VST,VLT Survey Telescope,Gen,,,A
VXLAN,Virtual Extensible LAN,IT,,,A
W3C,World Wide Web Consortium,Gen,,,A
WAL,Write Ahead Log,DM,,,A
WAAS,Wide Area Augmentation System,,,,A
WAN,Wide Area Network,Gen,,,A
WAS,Wave Front Array Subsystem,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
WBS,Work Breakdown Structure,Gen,,,A
WCA,Workplace Culture Advocate,Gen,,,A
WCAG,Web Content Accessibility Guidelines,OPS,,,A
WCS,World Coordinate System,Gen,,,A
WDS,Wavefront Data System,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
WebDav,Web Distributed Authoring and Versioning,DM,,,A
WEPAN,Women in Engineering ProActive Network,Gen,,,A
WF,Wavefront ,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
WFD,Wide-Fast-Deep,OPS,,,A
WFIRST,Wide Field Infrared Survey Telescope,OPS,,,A
WFM,WorkFlow Management,DM,,,A
WFS,WaveFront Sensor,TS,,,A
WG,Working Group,LSST DM,,,A
WIED,Women In Engineering Division,Gen,,,A
WISE,Wide-field Survey Explorer,Gen,,,A
WIYN,"(No longer an acronym - formerly:) Wisconsin, Indiana University, Yale University, NOAO (National Optical Astronomy Observatories) Observatory",Gen,,,A
WL,Weak gravitational Lens cosmic shear,Sci,,,A
WLMS,work load management service,TS,Document-11982,,A
WMS,Work Management System,OPS,,,A
WOUCAO,Windows on the Universe Center for Astronomy Outreach,OPS,,,A
WP,Work Package,OPS,,,A
WPC,Work Planning and Control,CAM,LCA-11591-B_REVIEW_(Camera_Final_Design_Report),,A
WREB,Wavefront sensor Readout Electronics Board,CAM,,,A
WRHEN,Western Hemisphere Research & Education Networks,TS,Document-12033,,A
WSDL,Web Services Description Language,Gen,,,A
WWT,World Wide Telescope,TS,Document-11978,,A
XDS,eXtended Data Services,CAM,,,A
XHTML,eXtensible HyperText Markup Language,Gen,,,A
XML,eXtensible Markup Language,Gen,,,A
XMM,ESA X-ray Multi-mirror Mission,Gen,,,A
XMM-Newton, ESA X-ray Multi-mirror Mission,Gen,,,A
XP,B or R Photometry (Gaia),Sci,,,A
XRAC,XSEDE Resource Allocation Committee,Sci,,,A
XRISM,X-ray Imaging and Spectroscopy Mission,Sci,,,A
XSD,XML Schema Definition,Gen,,,A
XSEDE,Extreme Science and Engineering Discovery Environment,OPS,,,A
XSL,eXtensible Stylesheet Language,Gen,,,A
XSLT,eXtensible Stylesheet Language Transformation,Gen,,,A
YAML,Yet Another Markup Language,Gen,,,A
YSO,Young Stellar Object,Sci,,,A
ZD,zenith distance,TS,Document-12031,,A
ZTF,Zwicky Transient Facility,Gen,,,A
accident,"An undesired event that results in harm to people, damage to property, or loss to process.  Accidents result from contact with a substance or source of energy above the threshold limit of the body structure",Adm,,,G
accruals,"Accounts on a balance sheet that represent liabilities and non-cash-based assets used in accrual-based accounting; these accounts include, among many others, accounts payable, accounts receivable, goodwill, future tax liability, and future interest expense",Adm,,,G
active asteroid,small Solar System bodies that have asteroid-like orbits but show comet-like visual characteristics,Sci,,,G
adaptive moments,"The second moments of the source intensity distribution, which are used for measuring source shapes. This approach is close to optimal for measuring the shapes of faint galaxies",Sci,,,G
afw,LSST's pipeline library code and primitives including images and tables,DM,https://github.com/lsst/afw,,G
aggregate metric,"An aggregation of multiple point metrics. For example, the overall photometric repeatability for a particular tract given given the repeatability of multiple individual stars in the tract. See also: metric",DM QA,DMTN-085,,G
aggregation,"The process of reducing multiple input values to a single output, e.g., a metric value, computed from a collection of input values. For example, a sum or average of a metric computed over patches to produce an aggregate metric at tract level. See also: metric, aggregate metric",DM QA,DMTN-085,,G
airmass,"The pathlength of light from an astrophysical source through the Earth's atmosphere. It is given approximately by sec z, where z is the angular distance from the zenith (the point directly overhead, where airmass = 1.0) to the source",Sci,,,G
Akaike Information Criterion,an estimator of prediction error and thereby relative quality of statistical models for a given set of data,Sci,,,G
Alert,"A packet of information for each source detected with signal-to-noise ratio > 5 in a difference image by Alert Production, containing measurement and characterization parameters based on the past 12 months of LSST observations plus small cutouts of the single-visit, template, and difference images, distributed via the internet",DM,LSE-163,,G
"Alert Management, Photometry, and Evaluation of Light curves","AMPEL (Broker) is a modular and scalable platform with explicit provenance tracking, suited for systematically processing large - possibly complex and heterogeneous  datasets either in real time or offline.\url{https://ampelproject.github.io/} ",OPS,,,G
Alert Production,"Executing on the Prompt Processing system, the Alert Production payload processes and calibrates incoming images, performs Difference Image Analysis to identify DIASources and DIAObjects, and then packages the resulting alerts for distribution",DM,LDM-151,AP,G
Alert Production DataBase,"A dedicated, internal database system used to support LSST Alert Production.  Does not support end-user access",DM,,,G
algorithm,A computational implementation of a calculation or some method of processing,Sci,,,G
Alternate Standard Visit,A single observation of an LSST field comprised of one 30 second exposure,DM,,,G
Amplifier,"An electronic component of a CCD that is used to recover the signal during read-out. For LSST, multiple amplifiers on each CCD will enable simultaneous read-out of adjacent regions of each detector. Often this term is used, not quite correctly, as a synonym for a read-out channel",CAM,,,G
Apache Parquet,A columnar storage data persistence format maintained by the Apache project,DM QA,"DMTN-085, http://parquet.apache.org",,G
APC,"activities, projects, or state of the profession considerations (decadal)",Sci,,,G
aperture correction,"A correction that is applied to fluxes of sources that were measured within a finite aperture, to account for the source flux that lies outside the aperture. This correction is usually based upon a model of the PSF as derived from bright, isolated stars. From the model one can derive the magnitude of the correction with aperture size and its variation with position in the image, which asymptotically approaches 1.0 at infinite aperture. Fluxes of sources in crowded fields are often measured with small apertures to avoid contamination, and then corrected with this approach",DM,LDM-151,,G
Archive,"The repository for documents required by the NSF to be kept. These include documents related to design and development, construction, integration, test, and operations of the LSST observatory system. The archive is maintained using the enterprise content management system DocuShare, which is accessible through a link on the project website www.project.lsst.org",Adm,,,G
Archive Center,"Part of the LSST Data Management System, the LSST archive center is a data center at NCSA that hosts the LSST Archive, which includes released science data and metadata, observatory and engineering data, and supporting software such as the LSST Software Stack",DM,,,G
Archiver,The IIP component responsible for transferring raw images and metadata to OODS and DBB in real time,DM,,Catch-up Archiver,G
arcmin,arcminute minute of arc (unit of angle),Gen,,,G
arcsec,arcsecond second of arc (unit of angle),Gen,,,G
Arizona-NOIRLab Temporal Analysis and Response to Events System,ANTARES is a real-time astronomy system under development at NOIRLab. \url{https://antares.noirlab.edu},OPS,,,G
Association of Universities for Research in Astronomy," consortium of US institutions and international affiliates that operates world-class astronomical observatories, AURA is the legal entity responsible for managing what it calls independent operating Centers, including LSST, under respective cooperative agreements with the National Science Foundation. AURA assumes fiducial responsibility for the funds provided through those cooperative agreements. AURA also is the legal owner of the AURA Observatory properties in Chile",Adm,,,G
Association Pipeline,"An application that matches detected Sources or DIASources or generated Objects to an existing catalog of Objects, producing a (possibly many-to-many) set of associations and a list of unassociated inputs. Association Pipelines are used in Alert Production after DIASource generation and in the final stages of Data Release processing to ensure continuity of Object identifiers",DM,LDM-151,,G
"Asteroid Discovery, Analysis, and Mapping","a cloud-based astrodynamics platform in development by the Asteroid Institute, a program of the B612 Foundation ",Sci,,,G
astrometry,"In astronomy, the sub-discipline of astrometry concerns precision measurement of positions (at a reference epoch), and real and apparent motions of astrophysical objects. Real motion means 3-D motions of the object with respect to an inertial reference frame; apparent motions are an artifact of the motion of the Earth. Astrometry per se is sometimes confused with the act of determining a World Coordinate System (WCS), which is a functional characterization of the mapping from pixels in an image or spectrum to world coordinate such as (RA, Dec) or wavelength",Sci,,,G
astronomical object,"A star, galaxy, asteroid, or other physical object of astronomical interest. Beware: in non-LSST usage, these are often known as sources",Sci,,,G
Attribute,A quantitative performance parameter in the context of the SysML based SysArch model used to generate a requirements document,SE,,,G
AURA Management Council for LSST,",  group reporting to the AURA Board of Directors that oversees the activities of the LSST Project Office and advocates the mission of the LSST",Adm,,,G
AURA Management Council for Rubin Observatory,",  group reporting to the AURA Board of Directors that oversees the activities of the Rubin Observatory Directors Office and advocates the mission of the observatory",Adm,,,G
AURA-O,AURA Observatory in Chile,Gen,,,G
Authentication,"The action of demonstrating who you are and an person, mission, or other entity. Usually by use of a password or security token",DM,,,G
Authorization,The action of allowing an authorized or anonymous entity access to data or services,DM,,,G
Automatic Learning for the Rapid Classification of Events,"The ALeRCE broker is a Chilean-led broker which is processing the alert stream from the ZTF and a Community Broker for the Vera C. Rubin Observatory and its LSST, as well as other large etendue survey telescopes. \url{http://alerce.science/}",OPS,,,G
AuxTel,LSST’s 1.2-meter Auxiliary Telescope will measure atmospheric transmission and will be used to calibrate LSST images,Gen,,,G
Babamul,Caltech's event broker,OPS,,,G
background,"In an image, the background consists of contributions from the sky (e.g., clouds or scattered moonlight), and from the telescope and camera optics, which must be distinguished from the astrophysical background. The sky and instrumental backgrounds are characterized and removed by the LSST processing software using a low-order spatial function whose coefficients are recorded in the image metadata",DM,,,G
Base Facility,"The data center located at the Base Site in La Serena, Chile. The Base Facility is composed of Base Test Stand an Archive Zone holding data products, and the Chilean Data Access Center",DM,LDM-148,,G
Base Year Cost,"The cost of a particular project element as of a year chosen to represent an arbitrary cost level of 100, usually the year the project plan was created or refreshed. New, up-to-date base years are periodically introduced to keep data current",Adm,,,G
Baseline,The point at which project designs or requirements are considered to be 'frozen' and after which all changes must be traced and approved,Adm,,,G
"Baseline, Cost","The 'frozen' total costs required for completion of the project based on known resources (staff, physical assets, knowledge, etc.) that will be needed",Adm,,,G
"Baseline, Design",The baseline defining the site specific preliminary design of the LSST subsystems and their associated hardware and software deliverables required to meet the requirements and definitions of the System Baseline,Adm,,,G
"Baseline, Functional","The baseline defining at the highest level the scientific, functional, and performance requirements for what the LSST Observatory is and what it must do as a whole",Adm,,,G
"Baseline, Schedule","The 'frozen' amount of time required for completion of the project based on known resources (staff, physical assets, knowledge, etc.) that will be needed",Adm,,,G
"Baseline, System","The baseline defining the high level set of functional and performance requirements for the LSST system and each of the LSST subsystems (Camera, Telescope and Site, and Data Management), the Observatory Control System, and Education and Public Outreach",Adm,,,G
